Date,S&P,VIX
1/3/2000,1455.219971,24.209999
1/4/2000,1399.420044,27.01
1/5/2000,1402.109985,26.41
1/6/2000,1403.449951,25.73
1/7/2000,1441.469971,21.719999
1/10/2000,1457.599976,21.709999
1/11/2000,1438.560059,22.5
1/12/2000,1432.25,22.84
1/13/2000,1449.680054,21.709999
1/14/2000,1465.150024,19.66
1/18/2000,1455.140015,21.5
1/19/2000,1455.900024,21.719999
1/20/2000,1445.569946,21.75
1/21/2000,1441.359985,20.82
1/24/2000,1401.530029,24.07
1/25/2000,1410.030029,23.02
1/26/2000,1404.089966,23.030001
1/27/2000,1398.560059,23.540001
1/28/2000,1360.160034,26.139999
1/31/2000,1394.459961,24.950001
2/1/2000,1409.280029,23.450001
2/2/2000,1409.119995,23.120001
2/3/2000,1424.969971,22.01
2/4/2000,1424.369995,21.540001
2/7/2000,1424.23999,22.790001
2/8/2000,1441.719971,21.25
2/9/2000,1411.709961,22.9
2/10/2000,1416.829956,23.07
2/11/2000,1387.119995,24.42
2/14/2000,1389.939941,24.379999
2/15/2000,1402.050049,22.92
2/16/2000,1387.670044,23.51
2/17/2000,1388.26001,23.17
2/18/2000,1346.089966,26
2/22/2000,1352.170044,25.860001
2/23/2000,1360.689941,23.889999
2/24/2000,1353.430054,24.379999
2/25/2000,1333.359985,25.200001
2/28/2000,1348.050049,24.68
2/29/2000,1366.420044,23.370001
3/1/2000,1379.189941,21.639999
3/2/2000,1381.76001,21.059999
3/3/2000,1409.170044,19.209999
3/6/2000,1391.280029,21.5
3/7/2000,1355.619995,24.309999
3/8/2000,1366.699951,23.82
3/9/2000,1401.689941,22.209999
3/10/2000,1395.069946,21.24
3/13/2000,1383.619995,22.85
3/14/2000,1359.150024,24.41
3/15/2000,1392.140015,22.34
3/16/2000,1458.469971,20.77
3/17/2000,1464.469971,22.370001
3/20/2000,1456.630005,22.959999
3/21/2000,1493.869995,21.700001
3/22/2000,1500.640015,21.49
3/23/2000,1527.349976,22.26
3/24/2000,1527.459961,23.309999
3/27/2000,1523.859985,24.530001
3/28/2000,1507.72998,24.860001
3/29/2000,1508.52002,24.1
3/30/2000,1487.920044,25.469999
3/31/2000,1498.579956,24.110001
4/3/2000,1505.969971,24.030001
4/4/2000,1494.72998,27.120001
4/5/2000,1487.369995,28.41
4/6/2000,1501.339966,27.15
4/7/2000,1516.349976,24.389999
4/10/2000,1504.459961,25.99
4/11/2000,1500.589966,27.25
4/12/2000,1467.170044,28.98
4/13/2000,1440.51001,29.4
4/14/2000,1356.560059,33.490002
4/17/2000,1401.439941,28.950001
4/18/2000,1441.609985,26.120001
4/19/2000,1427.469971,27.02
4/20/2000,1434.540039,25.85
4/24/2000,1429.859985,27.370001
4/25/2000,1477.439941,25.24
4/26/2000,1460.98999,26.969999
4/27/2000,1464.920044,26.190001
4/28/2000,1452.430054,26.200001
5/1/2000,1468.25,25.879999
5/2/2000,1446.290039,28.5
5/3/2000,1415.099976,31.629999
5/4/2000,1409.569946,30.77
5/5/2000,1432.630005,27.530001
5/8/2000,1424.170044,28.200001
5/9/2000,1412.140015,28.93
5/10/2000,1383.050049,29.870001
5/11/2000,1407.810059,27.76
5/12/2000,1420.959961,26.049999
5/15/2000,1452.359985,24.860001
5/16/2000,1466.040039,24.34
5/17/2000,1447.800049,23.98
5/18/2000,1437.209961,23.959999
5/19/2000,1406.949951,25.440001
5/22/2000,1400.719971,26
5/23/2000,1373.859985,25.870001
5/24/2000,1399.050049,24.32
5/25/2000,1381.52002,24.58
5/26/2000,1378.02002,24.469999
5/30/2000,1422.449951,23.620001
5/31/2000,1420.599976,23.65
6/1/2000,1448.810059,22.360001
6/2/2000,1477.26001,21.48
6/5/2000,1467.630005,22.709999
6/6/2000,1457.839966,23.049999
6/7/2000,1471.359985,22.48
6/8/2000,1461.670044,22.77
6/9/2000,1456.949951,22.139999
6/12/2000,1446,22.32
6/13/2000,1469.439941,21.67
6/14/2000,1470.540039,21.48
6/15/2000,1478.72998,20.68
6/16/2000,1464.459961,20.5
6/19/2000,1486,20.629999
6/20/2000,1475.949951,20.879999
6/21/2000,1479.130005,20.610001
6/22/2000,1452.180054,22
6/23/2000,1441.47998,22.34
6/26/2000,1455.310059,22.450001
6/27/2000,1450.550049,21.799999
6/28/2000,1454.819946,20.290001
6/29/2000,1442.390015,19.700001
6/30/2000,1454.599976,19.540001
7/3/2000,1469.540039,19.83
7/5/2000,1446.22998,21.16
7/6/2000,1456.670044,20.940001
7/7/2000,1478.900024,19.219999
7/10/2000,1475.619995,20.33
7/11/2000,1480.880005,20.110001
7/12/2000,1492.920044,20.030001
7/13/2000,1495.839966,20.030001
7/14/2000,1509.97998,19.32
7/17/2000,1510.48999,19.450001
7/18/2000,1493.73999,19.75
7/19/2000,1481.959961,19.65
7/20/2000,1495.569946,18.940001
7/21/2000,1480.189941,18.940001
7/24/2000,1464.290039,19.92
7/25/2000,1474.469971,19.389999
7/26/2000,1452.420044,19.67
7/27/2000,1449.619995,19.6
7/28/2000,1419.890015,20.84
7/31/2000,1430.829956,20.74
8/1/2000,1438.099976,20.549999
8/2/2000,1438.699951,20
8/3/2000,1452.560059,19.99
8/4/2000,1462.930054,18.620001
8/7/2000,1479.319946,19.030001
