Date,sp1,nav
2001-01-02,-2.568193085068117,-2.568193085068117
2001-01-03,-2.7929659144818118,-2.7929659144818118
2001-01-04,-3.391843302336369,-3.391843302336369
2001-01-05,-3.031469896520946,-3.031469896520946
2001-01-08,-3.3313147004610073,-3.3313147004610073
2001-01-09,-3.5387776426797473,-3.5387776426797473
2001-01-10,-3.8007741110857154,-3.8007741110857154
2001-01-11,-4.311053601092894,-4.311053601092894
2001-01-12,-4.129989283777931,-4.129989283777931
2001-01-16,-5.831260466427963,-5.831260466427963
2001-01-17,-5.436315892336637,-5.436315892336637
2001-01-18,-5.884783465490926,-5.884783465490926
2001-01-19,-5.072754918639518,-5.072754918639518
2001-01-22,-5.045220969791259,-5.045220969791259
2001-01-23,-5.263231503491241,-5.263231503491241
2001-01-24,-4.9132652562795585,-4.9132652562795585
2001-01-25,-5.0558990090679,-5.0558990090679
2001-01-26,-4.920416009067893,-4.920416009067893
2001-01-29,-4.896432480593106,-4.896432480593106
2001-01-30,-5.465033969875847,-5.465033969875847
2001-01-31,-4.649702615882788,-4.649702615882788
2001-02-01,-5.518938358318721,-5.518938358318721
2001-02-02,-4.8810125218523694,-4.8810125218523694
2001-02-05,-4.58424416692813,-4.58424416692813
2001-02-06,-5.0866594976167505,-5.0866594976167505
2001-02-07,-5.641743423695047,-5.641743423695047
2001-02-08,-4.65942088652919,-4.65942088652919
2001-02-09,-3.9562554148066624,-3.9562554148066624
2001-02-12,-4.924254226828367,-4.924254226828367
2001-02-13,-4.595949087329259,-4.595949087329259
2001-02-14,-5.201407615882786,-5.201407615882786
2001-02-15,-4.861439423695046,-4.861439423695046
2001-02-16,-4.516324166324523,-4.516324166324523
2001-02-20,-4.85525825092995,-4.85525825092995
2001-02-21,-4.469312363913389,-4.469312363913389
2001-02-22,-4.017423302336368,-4.017423302336368
2001-02-23,-4.098988078231855,-4.098988078231855
2001-02-26,-3.8912206342322264,-3.8912206342322264
2001-02-27,-3.9855725219709512,-3.9855725219709512
2001-02-28,-3.966336050785003,-3.966336050785003
2001-03-01,-4.211729091850785,-4.211729091850785
2001-03-02,-3.821077474691421,-3.821077474691421
2001-03-05,-3.54041227041958,-3.54041227041958
2001-03-06,-3.598945872425233,-3.598945872425233
2001-03-07,-3.527003811057213,-3.527003811057213
2001-03-08,-3.579098144278845,-3.579098144278845
2001-03-09,-3.5090038895353217,-3.5090038895353217
2001-03-12,-4.319526113399718,-4.319526113399718
2001-03-13,-4.192234913714515,-4.192234913714515
2001-03-14,-3.7565553565380867,-3.7565553565380867
2001-03-15,-3.743349012554546,-3.743349012554546
2001-03-16,-4.252132131813511,-4.252132131813511
2001-03-19,-4.125840639027487,-4.125840639027487
2001-03-20,-4.325941160494963,-4.325941160494963
2001-03-21,-4.552128258472891,-4.552128258472891
2001-03-22,-4.5404221687283695,-4.5404221687283695
2001-03-23,-4.610884700923577,-4.610884700923577
2001-03-26,-4.745896808709048,-4.745896808709048
2001-03-27,-4.716300761183689,-4.716300761183689
2001-03-28,-4.248655258933027,-4.248655258933027
2001-03-29,-4.369168682882645,-4.369168682882645
2001-03-30,-5.340171363478376,-5.340171363478376
2001-04-02,-5.350758559003239,-5.350758559003239
2001-04-03,-4.899221879210501,-4.899221879210501
2001-04-04,-5.329347994426392,-5.329347994426392
2001-04-05,-5.638511001453921,-5.638511001453921
2001-04-06,-4.6643890309683655,-4.6643890309683655
2001-04-09,-5.132777609425801,-5.132777609425801
2001-04-10,-5.193281413900948,-5.193281413900948
2001-04-11,-4.474266762446774,-4.474266762446774
2001-04-12,-4.134116290481671,-4.134116290481671
2001-04-16,-4.269457270375568,-4.269457270375568
2001-04-17,-4.076070261800226,-4.076070261800226
2001-04-18,-3.4807674832847084,-3.4807674832847084
2001-04-19,-3.7400019805429565,-3.7400019805429565
2001-04-20,-3.6457971265654976,-3.6457971265654976
2001-04-23,-3.1724129584899288,-3.1724129584899288
2001-04-24,-4.034896863752053,-4.034896863752053
2001-04-25,-4.196747587369956,-4.196747587369956
2001-04-26,-4.357384425088824,-4.357384425088824
2001-04-27,-4.335141942483176,-4.335141942483176
2001-04-30,-4.25760171735665,-4.25760171735665
2001-05-01,-4.20303043489632,-4.20303043489632
2001-05-02,-4.294372996605986,-4.294372996605986
2001-05-03,-4.498821657898603,-4.498821657898603
2001-05-04,-3.838384746498207,-3.838384746498207
2001-05-07,-3.9880935939373785,-3.9880935939373785
2001-05-08,-4.366067537034596,-4.366067537034596
2001-05-09,-4.310444949883603,-4.310444949883603
2001-05-10,-4.461894593937373,-4.461894593937373
2001-05-11,-4.0353551848185845,-4.0353551848185845
2001-05-14,-4.272000942483189,-4.272000942483189
2001-05-15,-4.245579416855378,-4.245579416855378
2001-05-16,-3.9319319503136967,-3.9319319503136967
2001-05-17,-3.6460495226338594,-3.6460495226338594
2001-05-18,-4.077843894525856,-4.077843894525856
2001-05-21,-3.470211789607589,-3.470211789607589
2001-05-22,-3.9429752315981546,-3.9429752315981546
2001-05-23,-3.7994347743466363,-3.7994347743466363
2001-05-24,-4.327131633346525,-4.327131633346525
2001-05-25,-4.079903753065636,-4.079903753065636
2001-05-29,-3.951426260652511,-3.951426260652511
2001-05-30,-4.478437072009783,-4.478437072009783
2001-05-31,-4.16805182560222,-4.16805182560222
2001-06-01,-4.120982810458514,-4.120982810458514
2001-06-04,-4.699672489449227,-4.699672489449227
2001-06-05,-4.379741868251486,-4.379741868251486
2001-06-06,-4.923478742885237,-4.923478742885237
2001-06-07,-4.597783967521622,-4.597783967521622
2001-06-08,-5.025756163152607,-5.025756163152607
2001-06-11,-4.814616025974473,-4.814616025974473
2001-06-12,-5.237134907746949,-5.237134907746949
2001-06-13,-5.5981270473019435,-5.5981270473019435
2001-06-14,-5.439511865622194,-5.439511865622194
2001-06-15,-5.581952594736762,-5.581952594736762
2001-06-18,-5.373256428353827,-5.373256428353827
2001-06-19,-5.487604682423495,-5.487604682423495
2001-06-20,-5.338116735470479,-5.338116735470479
2001-06-21,-5.268868227841892,-5.268868227841892
2001-06-22,-4.966101657239108,-4.966101657239108
2001-06-25,-4.69511272374244,-4.69511272374244
2001-06-26,-5.634319428353834,-5.634319428353834
2001-06-27,-6.178219310794304,-6.178219310794304
2001-06-28,-6.51278700346829,-6.51278700346829
2001-06-29,-6.735168163152608,-6.735168163152608
2001-07-02,-5.119455143533997,-5.119455143533997
2001-07-03,-4.715208782493022,-4.715208782493022
2001-07-05,-4.656832682423499,-4.656832682423499
2001-07-06,-4.433031557169571,-4.433031557169571
2001-07-09,-5.118574335984917,-5.118574335984917
2001-07-10,-4.49122397126375,-4.49122397126375
2001-07-11,-4.380467971263755,-4.380467971263755
2001-07-12,-4.904681353278747,-4.904681353278747
2001-07-13,-4.863947452870221,-4.863947452870221
2001-07-16,-4.666058330294518,-4.666058330294518
2001-07-17,-5.3344185297655855,-5.3344185297655855
2001-07-18,-4.3186944317062625,-4.3186944317062625
2001-07-19,-4.290685876878385,-4.290685876878385
2001-07-20,-4.211583876878379,-4.211583876878379
2001-07-23,-4.359687007030104,-4.359687007030104
2001-07-24,-4.2178122918499525,-4.2178122918499525
2001-07-25,-4.186287418446085,-4.186287418446085
2001-07-26,-4.404267355478908,-4.404267355478908
2001-07-27,-3.690032547923579,-3.690032547923579
2001-07-30,-3.49009617495841,-3.49009617495841
2001-07-31,-3.559517228692812,-3.559517228692812
2001-08-01,-3.9447426824234952,-3.9447426824234952
2001-08-02,-3.900911131616027,-3.900911131616027
2001-08-03,-3.818139553613989,-3.818139553613989
2001-08-06,-3.8698238510259984,-3.8698238510259984
2001-08-07,-3.958292557169571,-3.958292557169571
2001-08-08,-3.5315490391224955,-3.5315490391224955
2001-08-09,-4.146607291849946,-4.146607291849946
2001-08-10,-3.7416442176327678,-3.7416442176327678
2001-08-13,-3.951073356821098,-3.951073356821098
2001-08-14,-3.915835211398999,-3.915835211398999
2001-08-15,-4.127728265133399,-4.127728265133399
2001-08-16,-4.3186944317062625,-4.3186944317062625
2001-08-17,-4.486855291849949,-4.486855291849949
2001-08-20,-4.6286655744501815,-4.6286655744501815
2001-08-21,-4.525664365399109,-4.525664365399109
2001-08-22,-4.2984765591797895,-4.2984765591797895
2001-08-23,-3.378378365399115,-3.378378365399115
2001-08-24,-4.079885596956345,-4.079885596956345
2001-08-27,-4.193453574450189,-4.193453574450189
2001-08-28,-4.099168291849949,-4.099168291849949
2001-08-29,-3.7769395360056137,-3.7769395360056137
2001-08-30,-3.807184000501209,-3.807184000501209
2001-08-31,-3.952926595797095,-3.952926595797095
2001-09-04,-3.7976323716328864,-3.7976323716328864
2001-09-05,-3.6695398426636245,-3.6695398426636245
2001-09-06,-3.456507825723236,-3.456507825723236
2001-09-07,-3.1554591348695027,-3.1554591348695027
2001-09-10,-2.7342420705531367,-2.7342420705531367
2001-09-17,-2.8057428044408965,-2.8057428044408965
2001-09-18,-2.6913219488610167,-2.6913219488610167
2001-09-19,-2.749590511422177,-2.749590511422177
2001-09-20,-2.6342904096826487,-2.6342904096826487
2001-09-21,-1.9172775885331532,-1.9172775885331532
2001-09-24,-2.145146134953528,-2.145146134953528
2001-09-25,-2.688517669279207,-2.688517669279207
2001-09-26,-2.2137324182412,-2.2137324182412
2001-09-27,-2.0947176341940477,-2.0947176341940477
2001-09-28,-1.8478766457648135,-1.8478766457648135
2001-10-01,-2.31254755042805,-2.31254755042805
2001-10-02,-2.3340653239308153,-2.3340653239308153
2001-10-03,-2.275452512468533,-2.275452512468533
2001-10-04,-2.660957426240131,-2.660957426240131
2001-10-05,-2.757489088760579,-2.757489088760579
2001-10-08,-2.468267405661855,-2.468267405661855
2001-10-09,-1.9580190175391863,-1.9580190175391863
2001-10-10,-2.700065777626733,-2.700065777626733
2001-10-11,-2.2453734759420456,-2.2453734759420456
2001-10-12,-2.510685719869244,-2.510685719869244
2001-10-15,-3.0390716416569745,-3.0390716416569745
2001-10-16,-3.0571252469491554,-3.0571252469491554
2001-10-17,-3.455033736556274,-3.455033736556274
2001-10-18,-2.8200767011318106,-2.8200767011318106
2001-10-19,-3.2645465977204395,-3.2645465977204395
2001-10-22,-2.610281292232642,-2.610281292232642
2001-10-23,-2.5539224512763212,-2.5539224512763212
2001-10-24,-2.9273564759420623,-2.9273564759420623
2001-10-25,-3.139408700029776,-3.139408700029776
2001-10-26,-2.7905087000297755,-2.7905087000297755
2001-10-29,-3.1199593611192427,-3.1199593611192427
2001-10-30,-2.616063965141336,-2.616063965141336
2001-10-31,-3.2723694588846115,-3.2723694588846115
2001-11-01,-3.2958127807377053,-3.2958127807377053
2001-11-02,-2.6123566568735725,-2.6123566568735725
2001-11-05,-2.83015870002977,-2.83015870002977
2001-11-06,-2.7783420048254186,-2.7783420048254186
2001-11-07,-2.2851717501415862,-2.2851717501415862
2001-11-08,-2.4168844619955507,-2.4168844619955507
2001-11-09,-2.4280600841003093,-2.4280600841003093
2001-11-12,-2.322509126603805,-2.322509126603805
2001-11-13,-2.379177103615987,-2.379177103615987
2001-11-14,-2.8530734853143684,-2.8530734853143684
2001-11-15,-3.0698199974620195,-3.0698199974620195
2001-11-16,-3.269435033666781,-3.269435033666781
2001-11-19,-3.0076860490068356,-3.0076860490068356
2001-11-20,-3.3722112093600884,-3.3722112093600884
2001-11-21,-3.2881219508710444,-3.2881219508710444
2001-11-23,-3.4830586057458106,-3.4830586057458106
2001-11-26,-3.1969621067269287,-3.1969621067269287
2001-11-27,-2.9464497288316807,-2.9464497288316807
2001-11-28,-3.088025186409652,-3.088025186409652
2001-11-29,-3.5100565503583994,-3.5100565503583994
2001-11-30,-3.8100734345104,-3.8100734345104
2001-12-03,-3.7451740490068346,-3.7451740490068346
2001-12-04,-3.833508321773337,-3.833508321773337
2001-12-05,-3.7465817991118797,-3.7465817991118797
2001-12-06,-4.267249324476481,-4.267249324476481
